camera,c_number,colony,antColour,antID,spatialEntropies
29,C2,qi_cam29_exp3_a1_4wl,bo,29_C2_qi_cam29_exp3_a1_4wl_Color1,0.976746737
29,C2,qi_cam29_exp3_a1_4wl,bb,29_C2_qi_cam29_exp3_a1_4wl_Color2,4.008036556
29,C2,qi_cam29_exp3_a1_4wl,go,29_C2_qi_cam29_exp3_a1_4wl_Color3,7.504184256
29,C2,qi_cam29_exp3_a1_4wl,oo,29_C2_qi_cam29_exp3_a1_4wl_Color4,6.979099605
29,C4,qi_cam29_exp3_a1_4n,bo,29_C4_qi_cam29_exp3_a1_4n_Color1,1.736027287
29,C4,qi_cam29_exp3_a1_4n,gb,29_C4_qi_cam29_exp3_a1_4n_Color2,5.721324415
29,C4,qi_cam29_exp3_a1_4n,go,29_C4_qi_cam29_exp3_a1_4n_Color3,7.764919698
29,C4,qi_cam29_exp3_a1_4n,oo,29_C4_qi_cam29_exp3_a1_4n_Color4,5.62351868
29,C6,qi_cam29_exp3_a1_4wp,bo,29_C6_qi_cam29_exp3_a1_4wp_Color1,4.874576712
29,C6,qi_cam29_exp3_a1_4wp,gb,29_C6_qi_cam29_exp3_a1_4wp_Color2,6.423477028
29,C6,qi_cam29_exp3_a1_4wp,go,29_C6_qi_cam29_exp3_a1_4wp_Color3,6.08600055
29,C6,qi_cam29_exp3_a1_4wp,oo,29_C6_qi_cam29_exp3_a1_4wp_Color4,6.842325207
34,C1,qi_cam34_exp3_a1_4wp,bo,34_C1_qi_cam34_exp3_a1_4wp_Color1,3.759574491
34,C1,qi_cam34_exp3_a1_4wp,gb,34_C1_qi_cam34_exp3_a1_4wp_Color2,1.217170881
34,C1,qi_cam34_exp3_a1_4wp,go,34_C1_qi_cam34_exp3_a1_4wp_Color3,1.378271437
34,C1,qi_cam34_exp3_a1_4wp,oo,34_C1_qi_cam34_exp3_a1_4wp_Color4,5.772564922
34,C3,qi_cam34_exp3_a1_4wl,bo,34_C3_qi_cam34_exp3_a1_4wl_Color1,4.028140793
34,C3,qi_cam34_exp3_a1_4wl,gb,34_C3_qi_cam34_exp3_a1_4wl_Color2,2.417063435
34,C3,qi_cam34_exp3_a1_4wl,go,34_C3_qi_cam34_exp3_a1_4wl_Color3,3.266385174
34,C3,qi_cam34_exp3_a1_4wl,oo,34_C3_qi_cam34_exp3_a1_4wl_Color4,3.87487862
34,C5,qi_cam34_exp3_a1_4n,bo,34_C5_qi_cam34_exp3_a1_4n_Color1,0.914500317
34,C5,qi_cam34_exp3_a1_4n,gb,34_C5_qi_cam34_exp3_a1_4n_Color2,1.098507898
34,C5,qi_cam34_exp3_a1_4n,go,34_C5_qi_cam34_exp3_a1_4n_Color3,5.001657991
34,C5,qi_cam34_exp3_a1_4n,oo,34_C5_qi_cam34_exp3_a1_4n_Color4,3.39331449
42,C2,qi_cam42_exp3_a1_4wp,bb,42_C2_qi_cam42_exp3_a1_4wp_Color1,1.193452169
42,C2,qi_cam42_exp3_a1_4wp,pb,42_C2_qi_cam42_exp3_a1_4wp_Color2,4.388490149
42,C2,qi_cam42_exp3_a1_4wp,pg,42_C2_qi_cam42_exp3_a1_4wp_Color3,4.555996198
42,C2,qi_cam42_exp3_a1_4wp,pp,42_C2_qi_cam42_exp3_a1_4wp_Color4,4.242206929
42,C4,qi_cam42_exp3_a1_4wl,bb,42_C4_qi_cam42_exp3_a1_4wl_Color1,6.090851668
42,C4,qi_cam42_exp3_a1_4wl,pb,42_C4_qi_cam42_exp3_a1_4wl_Color2,2.230787989
42,C4,qi_cam42_exp3_a1_4wl,pg,42_C4_qi_cam42_exp3_a1_4wl_Color3,3.749707613
42,C4,qi_cam42_exp3_a1_4wl,pp,42_C4_qi_cam42_exp3_a1_4wl_Color4,7.399784944
42,C6,qi_cam42_exp3_a1_4n,bb,42_C6_qi_cam42_exp3_a1_4n_Color1,0.573661464
42,C6,qi_cam42_exp3_a1_4n,pb,42_C6_qi_cam42_exp3_a1_4n_Color2,1.099840015
42,C6,qi_cam42_exp3_a1_4n,pg,42_C6_qi_cam42_exp3_a1_4n_Color3,4.700211609
42,C6,qi_cam42_exp3_a1_4n,pp,42_C6_qi_cam42_exp3_a1_4n_Color4,3.65681698
47,C1,qi_cam47_exp3_a1_4n,bb,47_C1_qi_cam47_exp3_a1_4n_Color1,1.11516864
47,C1,qi_cam47_exp3_a1_4n,pb,47_C1_qi_cam47_exp3_a1_4n_Color2,7.584701631
47,C1,qi_cam47_exp3_a1_4n,pg,47_C1_qi_cam47_exp3_a1_4n_Color3,4.8412208
47,C1,qi_cam47_exp3_a1_4n,pp,47_C1_qi_cam47_exp3_a1_4n_Color4,5.159596669
47,C3,qi_cam47_exp3_a1_4wp,bb,47_C3_qi_cam47_exp3_a1_4wp_Color1,4.071679528
47,C3,qi_cam47_exp3_a1_4wp,pb,47_C3_qi_cam47_exp3_a1_4wp_Color2,0.738829644
47,C3,qi_cam47_exp3_a1_4wp,pg,47_C3_qi_cam47_exp3_a1_4wp_Color3,4.389415262
47,C3,qi_cam47_exp3_a1_4wp,pp,47_C3_qi_cam47_exp3_a1_4wp_Color4,6.692667682
47,C5,qi_cam47_exp3_a1_4wl,bb,47_C5_qi_cam47_exp3_a1_4wl_Color1,4.55669566
47,C5,qi_cam47_exp3_a1_4wl,pb,47_C5_qi_cam47_exp3_a1_4wl_Color2,4.27937666
47,C5,qi_cam47_exp3_a1_4wl,pg,47_C5_qi_cam47_exp3_a1_4wl_Color3,4.430716589
47,C5,qi_cam47_exp3_a1_4wl,pp,47_C5_qi_cam47_exp3_a1_4wl_Color4,8.374663038
54,C2,qi_cam54_exp3_a1_4n,bb,54_C2_qi_cam54_exp3_a1_4n_Color1,6.679208243
54,C2,qi_cam54_exp3_a1_4n,pb,54_C2_qi_cam54_exp3_a1_4n_Color2,0.83618869
54,C2,qi_cam54_exp3_a1_4n,pg,54_C2_qi_cam54_exp3_a1_4n_Color3,6.396976951
54,C2,qi_cam54_exp3_a1_4n,pp,54_C2_qi_cam54_exp3_a1_4n_Color4,0.511068898
54,C4,qi_cam54_exp3_a1_4wp,bb,54_C4_qi_cam54_exp3_a1_4wp_Color1,2.912693619
54,C4,qi_cam54_exp3_a1_4wp,pb,54_C4_qi_cam54_exp3_a1_4wp_Color2,2.35903013
54,C4,qi_cam54_exp3_a1_4wp,pg,54_C4_qi_cam54_exp3_a1_4wp_Color3,6.205998647
54,C4,qi_cam54_exp3_a1_4wp,pp,54_C4_qi_cam54_exp3_a1_4wp_Color4,5.425046721
54,C6,qi_cam54_exp3_a1_4wl,bb,54_C6_qi_cam54_exp3_a1_4wl_Color1,8.339916594
54,C6,qi_cam54_exp3_a1_4wl,pb,54_C6_qi_cam54_exp3_a1_4wl_Color2,7.663859569
54,C6,qi_cam54_exp3_a1_4wl,pg,54_C6_qi_cam54_exp3_a1_4wl_Color3,4.301063228
54,C6,qi_cam54_exp3_a1_4wl,pp,54_C6_qi_cam54_exp3_a1_4wl_Color4,5.133523224
61,C1,qi_cam61_exp3_a1_4wl,bo,61_C1_qi_cam61_exp3_a1_4wl_Color1,2.840426804
61,C1,qi_cam61_exp3_a1_4wl,gb,61_C1_qi_cam61_exp3_a1_4wl_Color2,2.365303776
61,C1,qi_cam61_exp3_a1_4wl,go,61_C1_qi_cam61_exp3_a1_4wl_Color3,4.478102897
61,C1,qi_cam61_exp3_a1_4wl,oo,61_C1_qi_cam61_exp3_a1_4wl_Color4,5.187740197
61,C3,qi_cam61_exp3_a1_4n,bo,61_C3_qi_cam61_exp3_a1_4n_Color1,0.835414435
61,C3,qi_cam61_exp3_a1_4n,gb,61_C3_qi_cam61_exp3_a1_4n_Color2,7.58639263
61,C3,qi_cam61_exp3_a1_4n,go,61_C3_qi_cam61_exp3_a1_4n_Color3,6.412657583
61,C3,qi_cam61_exp3_a1_4n,oo,61_C3_qi_cam61_exp3_a1_4n_Color4,1.519010044
61,C5,qi_cam61_exp3_a1_4wp,bo,61_C5_qi_cam61_exp3_a1_4wp_Color1,7.873524358
61,C5,qi_cam61_exp3_a1_4wp,gb,61_C5_qi_cam61_exp3_a1_4wp_Color2,5.639331226
61,C5,qi_cam61_exp3_a1_4wp,go,61_C5_qi_cam61_exp3_a1_4wp_Color3,7.664949001
61,C5,qi_cam61_exp3_a1_4wp,oo,61_C5_qi_cam61_exp3_a1_4wp_Color4,0.694424744
