camera,c_number,colony,antColour,antID,spatialEntropies
29,C1,qi_cam29_exp3_a1_8wl,BB,29_C1_qi_cam29_exp3_a1_8wl_BB,3.16807239
29,C1,qi_cam29_exp3_a1_8wl,BO,29_C1_qi_cam29_exp3_a1_8wl_BO,3.282016257
29,C1,qi_cam29_exp3_a1_8wl,GB,29_C1_qi_cam29_exp3_a1_8wl_GB,1.548264127
29,C1,qi_cam29_exp3_a1_8wl,GO,29_C1_qi_cam29_exp3_a1_8wl_GO,5.960550063
29,C1,qi_cam29_exp3_a1_8wl,OO,29_C1_qi_cam29_exp3_a1_8wl_OO,2.737408086
29,C1,qi_cam29_exp3_a1_8wl,PB,29_C1_qi_cam29_exp3_a1_8wl_PB,2.467376704
29,C1,qi_cam29_exp3_a1_8wl,PG,29_C1_qi_cam29_exp3_a1_8wl_PG,4.425935384
29,C1,qi_cam29_exp3_a1_8wl,PP,29_C1_qi_cam29_exp3_a1_8wl_PP,1.963547359
29,C3,qi_cam29_exp3_a1_8n,BB,29_C3_qi_cam29_exp3_a1_8n_BB,8.673550172
29,C3,qi_cam29_exp3_a1_8n,BO,29_C3_qi_cam29_exp3_a1_8n_BO,6.855529221
29,C3,qi_cam29_exp3_a1_8n,GB,29_C3_qi_cam29_exp3_a1_8n_GB,2.819566427
29,C3,qi_cam29_exp3_a1_8n,GO,29_C3_qi_cam29_exp3_a1_8n_GO,2.379648149
29,C3,qi_cam29_exp3_a1_8n,OO,29_C3_qi_cam29_exp3_a1_8n_OO,3.323675996
29,C3,qi_cam29_exp3_a1_8n,PB,29_C3_qi_cam29_exp3_a1_8n_PB,6.592799224
29,C3,qi_cam29_exp3_a1_8n,PG,29_C3_qi_cam29_exp3_a1_8n_PG,6.047005376
29,C3,qi_cam29_exp3_a1_8n,PP,29_C3_qi_cam29_exp3_a1_8n_PP,1.682324486
29,C5,qi_cam29_exp3_a1_8wp,BB,29_C5_qi_cam29_exp3_a1_8wp_BB,5.736117495
29,C5,qi_cam29_exp3_a1_8wp,BO,29_C5_qi_cam29_exp3_a1_8wp_BO,3.599562654
29,C5,qi_cam29_exp3_a1_8wp,GB,29_C5_qi_cam29_exp3_a1_8wp_GB,3.902739902
29,C5,qi_cam29_exp3_a1_8wp,GO,29_C5_qi_cam29_exp3_a1_8wp_GO,8.182763896
29,C5,qi_cam29_exp3_a1_8wp,OO,29_C5_qi_cam29_exp3_a1_8wp_OO,2.644861407
29,C5,qi_cam29_exp3_a1_8wp,PB,29_C5_qi_cam29_exp3_a1_8wp_PB,2.903993906
29,C5,qi_cam29_exp3_a1_8wp,PG,29_C5_qi_cam29_exp3_a1_8wp_PG,2.696478889
